"Age","Status","Studies","YearsOfExperience","Indentation_Length","Nesting_Level","Distance_from_Center","Correct","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","Subject","Name","Q1","Q3","IQR","Lower_Bound","Upper_Bound","Outlier_Flag"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",5,1,1,1,6,6,"True",2184,4,,1773.0,1999.0,226.0,1095.0,2677.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",4,0,1,1,1,1,"True",3380,4,,3262.0,3633.0,371.0,2149.0,4746.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",7,3,1,1,1,1,"True",1199,4,,1199.0,1383.0,184.0,647.0,1935.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",6,2,1,1,2,2,"True",1483,4,,1483.0,2124.0,641.0,-440.0,4047.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",6,2,1,1,2,2,"True",1148,4,,1258.0,2119.0,861.0,-1325.0,4702.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",5,1,1,1,2,2,"True",2760,4,,1572.0,2587.0,1015.0,-1473.0,5632.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",5,1,1,1,3,3,"True",2587,4,,1944.0,2361.0,417.0,693.0,3612.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",4,0,1,1,2,2,"True",3444,4,,3039.0,4188.0,1149.0,-408.0,7635.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",1,3,1,1,2,2,"True",1235,4,,1235.0,2076.0,841.0,-1288.0,4599.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",7,3,1,1,5,5,"True",1748,4,,1235.0,1377.0,142.0,809.0,1803.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",7,3,1,1,4,4,"True",1296,4,,1312.0,1716.0,404.0,100.0,2928.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",2,2,1,1,4,4,"True",1188,4,,1172.0,3561.0,2389.0,-5995.0,10728.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",1,3,1,1,2,2,"True",1023,4,,1337.0,1399.0,62.0,1151.0,1585.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",3,1,1,1,2,2,"True",1812,4,,1791.0,1812.0,21.0,1728.0,1875.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",4,0,1,1,5,5,"True",2287,4,,2287.0,2540.0,253.0,1528.0,3299.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",6,2,1,1,2,2,"True",1296,4,,1444.0,1637.0,193.0,865.0,2216.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",3,1,1,1,1,1,"True",1627,4,,1627.0,2395.0,768.0,-677.0,4699.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",2,2,1,1,3,3,"True",1812,4,,1348.0,1942.0,594.0,-434.0,3724.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",5,1,1,1,7,7,"True",1828,4,,1572.0,1828.0,256.0,804.0,2596.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",2,2,1,1,3,3,"True",1348,4,,1348.0,1942.0,594.0,-434.0,3724.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",6,2,1,1,7,7,"True",1265,4,,1483.0,2124.0,641.0,-440.0,4047.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",3,1,1,1,4,4,"True",7257,4,,1791.0,1812.0,21.0,1728.0,1875.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",3,1,1,1,4,4,"True",2191,4,,1368.0,1485.0,117.0,1017.0,1836.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",7,3,1,1,5,5,"True",1383,4,,1199.0,1383.0,184.0,647.0,1935.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",2,2,1,1,6,6,"True",1619,4,,1411.0,1732.0,321.0,448.0,2695.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",5,1,1,1,2,2,"True",1419,4,,1572.0,2587.0,1015.0,-1473.0,5632.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",5,1,1,1,7,7,"True",1617,4,,1667.0,1877.0,210.0,1037.0,2507.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",6,2,1,1,2,2,"True",1076,4,,1318.0,1992.0,674.0,-704.0,4014.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",3,1,1,1,5,5,"True",1956,4,,1821.0,1956.0,135.0,1416.0,2361.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",1,3,1,1,4,4,"True",1184,4,,1235.0,2076.0,841.0,-1288.0,4599.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",7,3,1,1,1,1,"True",1072,4,,1176.0,1309.0,133.0,777.0,1708.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",5,1,1,1,5,5,"True",1572,4,,1572.0,1828.0,256.0,804.0,2596.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",5,1,1,1,3,3,"True",1667,4,,1667.0,1877.0,210.0,1037.0,2507.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",2,2,1,1,6,6,"True",1401,4,,1516.0,1656.0,140.0,1096.0,2076.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",7,3,1,1,2,2,"True",1252,4,,1176.0,1309.0,133.0,777.0,1708.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",1,3,1,1,1,1,"True",1084,4,,1188.0,1287.0,99.0,891.0,1584.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",7,3,1,1,7,7,"True",1527,4,,1312.0,1716.0,404.0,100.0,2928.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",3,1,1,1,7,7,"True",1328,4,,1368.0,1485.0,117.0,1017.0,1836.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",7,3,1,1,7,7,"True",1303,4,,1228.0,1536.0,308.0,304.0,2460.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",2,2,1,1,2,2,"True",3071,4,,1258.0,2080.0,822.0,-1208.0,4546.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",3,1,1,1,4,4,"True",1509,4,,1676.0,1884.0,208.0,1052.0,2508.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",5,1,1,1,2,2,"True",1820,4,,1820.0,2809.0,989.0,-1147.0,5776.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",1,3,1,1,7,7,"True",1283,4,,1283.0,2513.0,1230.0,-2407.0,6203.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",5,1,1,1,5,5,"True",1557,4,,1773.0,1999.0,226.0,1095.0,2677.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",7,3,1,1,5,5,"True",1531,4,,1017.0,1313.0,296.0,129.0,2201.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",7,3,1,1,7,7,"True",1327,4,,1199.0,1383.0,184.0,647.0,1935.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",7,3,1,1,7,7,"True",1800,4,,1228.0,1536.0,308.0,304.0,2460.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",3,1,1,1,1,1,"True",1856,4,,1856.0,4317.0,2461.0,-5527.0,11700.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",3,1,1,1,7,7,"True",1933,4,,1821.0,1956.0,135.0,1416.0,2361.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",3,1,1,1,3,3,"True",1821,4,,1821.0,1956.0,135.0,1416.0,2361.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",2,2,1,1,5,5,"True",1376,4,,1411.0,1732.0,321.0,448.0,2695.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",2,2,1,1,7,7,"True",2025,4,,1348.0,1942.0,594.0,-434.0,3724.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",2,2,1,1,1,1,"True",1613,4,,1258.0,2080.0,822.0,-1208.0,4546.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",1,3,1,1,7,7,"True",1204,4,,1280.0,1624.0,344.0,248.0,2656.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",6,2,1,1,7,7,"True",2124,4,,1483.0,2124.0,641.0,-440.0,4047.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",4,0,1,1,1,1,"True",2400,4,,2487.0,3375.0,888.0,-177.0,6039.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",4,0,1,1,3,3,"True",2487,4,,2487.0,3375.0,888.0,-177.0,6039.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",3,1,1,1,5,5,"True",1655,4,,1627.0,2395.0,768.0,-677.0,4699.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",4,0,1,1,3,3,"True",2248,4,,3039.0,4188.0,1149.0,-408.0,7635.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",7,3,1,1,6,6,"True",1536,4,,1228.0,1536.0,308.0,304.0,2460.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",7,3,1,1,1,1,"True",2108,4,,1176.0,1309.0,133.0,777.0,1708.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",4,0,1,1,5,5,"True",3603,4,,3067.0,4485.0,1418.0,-1187.0,8739.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",5,1,1,1,3,3,"True",1572,4,,1572.0,2587.0,1015.0,-1473.0,5632.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",7,3,1,1,3,3,"True",1017,4,,1017.0,1313.0,296.0,129.0,2201.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",7,3,1,1,1,1,"True",896,4,,1017.0,1313.0,296.0,129.0,2201.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",7,3,1,1,2,2,"True",1017,4,,1017.0,1313.0,296.0,129.0,2201.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",3,1,1,1,5,5,"True",5260,4,,1856.0,4317.0,2461.0,-5527.0,11700.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",7,3,1,1,6,6,"True",3204,4,,1312.0,1716.0,404.0,100.0,2928.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",1,3,1,1,6,6,"True",1337,4,,1337.0,1399.0,62.0,1151.0,1585.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",2,2,1,1,1,1,"True",1307,4,,1356.0,1513.0,157.0,885.0,1984.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",6,2,1,1,5,5,"True",1412,4,,1448.0,1915.0,467.0,47.0,3316.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",2,2,1,1,3,3,"True",1258,4,,1258.0,2080.0,822.0,-1208.0,4546.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",5,1,1,1,4,4,"True",1944,4,,1944.0,2361.0,417.0,693.0,3612.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",4,0,1,1,5,5,"True",3260,4,,2487.0,3375.0,888.0,-177.0,6039.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",3,1,1,1,4,4,"True",1450,4,,1627.0,2395.0,768.0,-677.0,4699.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",2,2,1,1,7,7,"True",1168,4,,1172.0,3561.0,2389.0,-5995.0,10728.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",2,2,1,1,1,1,"True",1411,4,,1411.0,1732.0,321.0,448.0,2695.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",7,3,1,1,7,7,"True",1313,4,,1017.0,1313.0,296.0,129.0,2201.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",7,3,1,1,1,1,"True",1032,4,,1235.0,1377.0,142.0,809.0,1803.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",7,3,1,1,3,3,"True",1228,4,,1228.0,1536.0,308.0,304.0,2460.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",4,0,1,1,5,5,"True",3039,4,,3039.0,4188.0,1149.0,-408.0,7635.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",5,1,1,1,1,1,"True",2281,4,,1572.0,2587.0,1015.0,-1473.0,5632.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",3,1,1,1,2,2,"True",1485,4,,1368.0,1485.0,117.0,1017.0,1836.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",2,2,1,1,5,5,"True",1656,4,,1516.0,1656.0,140.0,1096.0,2076.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",1,3,1,1,2,2,"True",6565,4,,1235.0,2076.0,841.0,-1288.0,4599.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",1,3,1,1,1,1,"True",1331,4,,1283.0,2513.0,1230.0,-2407.0,6203.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",3,1,1,1,4,4,"True",1368,4,,1368.0,1485.0,117.0,1017.0,1836.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",4,0,1,1,2,2,"True",3262,4,,3262.0,3633.0,371.0,2149.0,4746.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",4,0,1,1,3,3,"True",4188,4,,3039.0,4188.0,1149.0,-408.0,7635.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",1,3,1,1,2,2,"True",1238,4,,1421.0,1984.0,563.0,-268.0,3673.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",4,0,1,1,2,2,"True",2220,4,,2287.0,2540.0,253.0,1528.0,3299.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",6,2,1,1,7,7,"True",1392,4,,1392.0,1701.0,309.0,465.0,2628.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",5,1,1,1,4,4,"True",1752,4,,1572.0,1828.0,256.0,804.0,2596.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",6,2,1,1,2,2,"True",2272,4,,1448.0,1915.0,467.0,47.0,3316.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",2,2,1,1,2,2,"True",2857,4,,1411.0,1732.0,321.0,448.0,2695.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",7,3,1,1,4,4,"True",1309,4,,1176.0,1309.0,133.0,777.0,1708.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",6,2,1,1,5,5,"True",1705,4,,1483.0,2124.0,641.0,-440.0,4047.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",4,0,1,1,7,7,"True",2207,4,,2388.0,5290.0,2902.0,-6318.0,13996.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",2,2,1,1,2,2,"True",1124,4,,1258.0,2080.0,822.0,-1208.0,4546.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",5,1,1,1,1,1,"True",2969,4,,1667.0,1877.0,210.0,1037.0,2507.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",1,3,1,1,6,6,"True",1287,4,,1188.0,1287.0,99.0,891.0,1584.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",6,2,1,1,7,7,"True",1318,4,,1318.0,1992.0,674.0,-704.0,4014.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","10",2,2,1,1,4,4,"True",1172,4,,1172.0,3561.0,2389.0,-5995.0,10728.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",3,1,1,1,2,2,"True",1414,4,,1791.0,1812.0,21.0,1728.0,1875.0,"Outlier"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",1,3,1,1,4,4,"True",1188,4,,1188.0,1287.0,99.0,891.0,1584.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","2",3,1,1,1,7,7,"True",1791,4,,1791.0,1812.0,21.0,1728.0,1875.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",3,1,1,1,4,4,"True",1884,4,,1856.0,4317.0,2461.0,-5527.0,11700.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",1,3,1,1,6,6,"True",1315,4,,1235.0,2076.0,841.0,-1288.0,4599.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",2,2,1,1,5,5,"True",1356,4,,1356.0,1513.0,157.0,885.0,1984.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",3,1,1,1,3,3,"True",1376,4,,1368.0,1485.0,117.0,1017.0,1836.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",1,3,1,1,3,3,"True",1384,4,,1337.0,1399.0,62.0,1151.0,1585.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",3,1,1,1,4,4,"True",4317,4,,1856.0,4317.0,2461.0,-5527.0,11700.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",1,3,1,1,7,7,"True",1088,4,,1283.0,2513.0,1230.0,-2407.0,6203.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",3,1,1,1,3,3,"True",1332,4,,1856.0,4317.0,2461.0,-5527.0,11700.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",7,3,1,1,3,3,"True",1377,4,,1235.0,1377.0,142.0,809.0,1803.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",3,1,1,1,1,1,"True",1676,4,,1676.0,1884.0,208.0,1052.0,2508.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",2,2,1,1,4,4,"True",2080,4,,1258.0,2080.0,822.0,-1208.0,4546.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",6,2,1,1,3,3,"True",1390,4,,1392.0,1701.0,309.0,465.0,2628.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","4",7,3,1,1,6,6,"True",1181,4,,1199.0,1383.0,184.0,647.0,1935.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","Dynamic",5,1,1,1,1,1,"True",2587,4,,1572.0,2587.0,1015.0,-1473.0,5632.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",5,1,1,1,4,4,"True",1853,4,,1773.0,1999.0,226.0,1095.0,2677.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","8",2,2,1,1,5,5,"True",1732,4,,1411.0,1732.0,321.0,448.0,2695.0,"OK"
"between 30 and (excluding) 35","Graduate student (at least BSc finished)","I do not study","none","6",4,0,1,1,4,4,"True",2443,4,,2287.0,2540.0,253.0,1528.0,3299.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","4",4,0,1,1,1,1,"True",6068,8,,2376.0,4472.0,2096.0,-3912.0,10760.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","4",7,3,1,1,3,3,"True",1428,8,,1428.0,1808.0,380.0,288.0,2948.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",7,3,1,1,2,2,"True",1815,8,,1815.0,2005.0,190.0,1245.0,2575.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",4,0,1,1,2,2,"True",5672,8,,3972.0,5672.0,1700.0,-1128.0,10772.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","8",4,0,1,1,5,5,"True",3284,8,,2497.0,3284.0,787.0,136.0,5645.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","10",1,3,1,1,3,3,"True",2979,8,,2499.0,3965.0,1466.0,-1899.0,8363.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","8",5,1,1,1,3,3,"True",2480,8,,1869.0,2864.0,995.0,-1116.0,5849.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","4",5,1,1,1,1,1,"True",2023,8,,2023.0,2808.0,785.0,-332.0,5163.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","10",1,3,1,1,7,7,"True",2499,8,,2499.0,3965.0,1466.0,-1899.0,8363.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",2,2,1,1,5,5,"True",2115,8,,2115.0,4489.0,2374.0,-5007.0,11611.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","4",6,2,1,1,5,5,"True",3208,8,,1485.0,2136.0,651.0,-468.0,4089.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",6,2,1,1,6,6,"True",3920,8,,2008.0,3920.0,1912.0,-3728.0,9656.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","6",5,1,1,1,3,3,"True",2656,8,,1780.0,2656.0,876.0,-848.0,5284.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","10",2,2,1,1,6,6,"True",2516,8,,1620.0,1983.0,363.0,531.0,3072.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","Dynamic",2,2,1,1,7,7,"True",1759,8,,1317.0,1748.0,431.0,24.0,3041.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",6,2,1,1,6,6,"True",4100,8,,2008.0,3920.0,1912.0,-3728.0,9656.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","4",4,0,1,1,6,6,"True",2376,8,,2376.0,4472.0,2096.0,-3912.0,10760.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",5,1,1,1,2,2,"True",2292,8,,2292.0,5609.0,3317.0,-7659.0,15560.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",4,0,1,1,7,7,"True",3440,8,,3972.0,5672.0,1700.0,-1128.0,10772.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","6",7,3,1,1,7,7,"True",2356,8,,2017.0,3240.0,1223.0,-1652.0,6909.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","6",6,2,1,1,2,2,"True",1465,8,,1465.0,1718.0,253.0,706.0,2477.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","10",4,0,1,1,1,1,"True",1728,8,,2636.0,4860.0,2224.0,-4036.0,11532.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","10",1,3,1,1,4,4,"True",3965,8,,2499.0,3965.0,1466.0,-1899.0,8363.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",4,0,1,1,1,1,"True",3972,8,,3972.0,5672.0,1700.0,-1128.0,10772.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","6",4,0,1,1,3,3,"True",2417,8,,2920.0,3161.0,241.0,2197.0,3884.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","4",4,0,1,1,2,2,"True",2424,8,,2376.0,4472.0,2096.0,-3912.0,10760.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","6",6,2,1,1,6,6,"True",1676,8,,1465.0,1718.0,253.0,706.0,2477.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","Dynamic",1,3,1,1,1,1,"True",1540,8,,1504.0,3048.0,1544.0,-3128.0,7680.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","4",6,2,1,1,1,1,"True",2136,8,,1485.0,2136.0,651.0,-468.0,4089.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","10",3,1,1,1,6,6,"True",4240,8,,2096.0,2664.0,568.0,392.0,4368.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","8",5,1,1,1,3,3,"True",1768,8,,1869.0,2864.0,995.0,-1116.0,5849.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","8",1,3,1,1,2,2,"True",1300,8,,1300.0,1385.0,85.0,1045.0,1640.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","10",5,1,1,1,7,7,"True",3824,8,,2176.0,3575.0,1399.0,-2021.0,7772.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","Dynamic",6,2,1,1,5,5,"True",2888,8,,1728.0,3241.0,1513.0,-2811.0,7780.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","6",4,0,1,1,1,1,"True",5072,8,,2920.0,3161.0,241.0,2197.0,3884.0,"Outlier"
"between 25 and (excluding) 30","Other","I do not study","none","10",5,1,1,1,4,4,"True",1525,8,,2176.0,3575.0,1399.0,-2021.0,7772.0,"OK"
"between 25 and (excluding) 30","Other","I do not study","none","2",4,0,1,1,1,1,"True",4464,8,,3972.0,5672.0,1700.0,-1128.0,10772.0,"OK"
