"Age","Status","Studies","YearsOfExperience","Overlap","Indentation_Length","Nesting_Level","Distance_from_Center","Overlap_Above_Percent","Overlap_Below_Percent","Correct","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","Subject","Name","Q1","Q3","IQR","Lower_Bound","Upper_Bound","Outlier_Flag"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",6,2,0,100,1,1,5,5,"True",1208,5,,1018.0,1196.0,178.0,484.0,1730.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",6,2,65,95,1,1,4,4,"True",952,5,,970.0,1092.0,122.0,604.0,1458.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",4,0,65,95,1,1,1,1,"True",928,5,,930.0,1106.0,176.0,402.0,1634.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",3,1,0,100,1,1,6,6,"True",1448,5,,1132.0,1276.0,144.0,700.0,1708.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",5,1,0,100,1,1,3,3,"True",1560,5,,928.0,1522.0,594.0,-854.0,3304.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",2,2,65,95,1,1,2,2,"True",1192,5,,1222.0,1486.25,264.25,429.25,2279.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",5,1,65,95,1,1,5,5,"True",1336,5,,1300.75,1416.0,115.25,955.0,1761.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",3,1,0,100,1,1,7,7,"True",1520,5,,1190.0,1488.0,298.0,296.0,2382.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",4,0,65,95,1,1,1,1,"True",992,5,,1006.0,1248.25,242.25,279.25,1975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",5,1,0,100,1,1,4,4,"True",1096,5,,906.0,1108.0,202.0,300.0,1714.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",5,1,65,95,1,1,5,5,"True",1208,5,,1300.75,1416.0,115.25,955.0,1761.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",2,2,0,100,1,1,4,4,"True",1248,5,,1196.0,1324.0,128.0,812.0,1708.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",5,1,65,95,1,1,5,5,"True",1088,5,,1090.25,1246.0,155.75,623.0,1713.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",6,2,65,95,1,1,4,4,"True",920,5,,980.25,1188.0,207.75,357.0,1811.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",3,1,65,95,1,1,6,6,"True",992,5,,938.0,1110.0,172.0,422.0,1626.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",2,2,0,100,1,1,5,5,"True",1408,5,,1176.0,1388.0,212.0,540.0,2024.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",3,1,0,100,1,1,6,6,"True",1072,5,,1042.0,1130.0,88.0,778.0,1394.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",4,0,0,100,1,1,6,6,"True",1008,5,,1074.0,1412.0,338.0,60.0,2426.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",4,0,0,100,1,1,3,3,"True",928,5,,910.0,1102.0,192.0,334.0,1678.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",6,2,0,100,1,1,3,3,"True",952,5,,982.0,1068.0,86.0,724.0,1326.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",2,2,0,100,1,1,3,3,"True",1040,5,,1050.0,1318.0,268.0,246.0,2122.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",2,2,0,100,0,1,1,2,"False",992,5,,1050.0,1318.0,268.0,246.0,2122.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",5,1,0,100,1,1,5,5,"True",2184,5,,928.0,1522.0,594.0,-854.0,3304.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",6,2,0,100,1,1,4,4,"True",1000,5,,982.75,1150.0,167.25,481.0,1651.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",4,0,65,95,1,1,5,5,"True",1048,5,,1006.0,1248.25,242.25,279.25,1975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",4,0,0,100,0,1,6,5,"False",1048,5,,1074.0,1412.0,338.0,60.0,2426.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",6,2,0,100,1,1,2,2,"True",1040,5,,982.0,1068.0,86.0,724.0,1326.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",6,2,65,95,1,1,1,1,"True",1208,5,,1032.0,1226.0,194.0,450.0,1808.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",4,0,65,95,1,1,6,6,"True",1688,5,,1090.75,1362.0,271.25,277.0,2175.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",5,1,65,95,1,1,2,2,"True",992,5,,852.0,1070.0,218.0,198.0,1724.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",3,1,0,100,1,1,7,7,"True",2184,5,,1072.25,1262.75,190.5,500.75,1834.25,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",4,0,0,100,1,1,3,3,"True",1400,5,,1074.0,1412.0,338.0,60.0,2426.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",3,1,0,100,1,1,2,2,"True",2016,5,,1190.0,1488.0,298.0,296.0,2382.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",2,2,0,100,1,1,6,6,"True",1320,5,,1176.0,1388.0,212.0,540.0,2024.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",2,2,65,95,1,1,6,6,"True",1192,5,,1191.25,1370.0,178.75,655.0,1906.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",3,1,0,100,1,1,1,1,"True",1232,5,,1190.0,1488.0,298.0,296.0,2382.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",3,1,0,100,1,1,5,5,"True",1192,5,,1042.0,1130.0,88.0,778.0,1394.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",5,1,65,95,1,1,4,4,"True",1352,5,,1090.25,1246.0,155.75,623.0,1713.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",5,1,65,95,1,1,7,7,"True",1096,5,,852.0,1070.0,218.0,198.0,1724.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",2,2,0,100,1,1,7,7,"True",1176,5,,1176.0,1388.0,212.0,540.0,2024.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",5,1,65,95,1,1,1,1,"True",1240,5,,1090.25,1246.0,155.75,623.0,1713.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",3,1,65,95,1,1,1,1,"True",1528,5,,1104.25,1410.0,305.75,187.0,2327.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",5,1,0,100,1,1,4,4,"True",1040,5,,906.0,1108.0,202.0,300.0,1714.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",2,2,0,100,1,1,4,4,"True",1128,5,,1196.0,1324.0,128.0,812.0,1708.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",4,0,0,100,1,1,2,2,"True",968,5,,962.0,1094.0,132.0,566.0,1490.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",2,2,0,100,1,1,5,5,"True",1336,5,,1050.0,1318.0,268.0,246.0,2122.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",6,2,0,100,1,1,6,6,"True",1280,5,,1042.0,1196.0,154.0,580.0,1658.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",3,1,65,95,1,1,3,3,"True",1072,5,,938.0,1110.0,172.0,422.0,1626.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",6,2,0,100,1,1,3,3,"True",1000,5,,982.75,1150.0,167.25,481.0,1651.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",6,2,65,95,1,1,2,2,"True",1080,5,,1032.0,1226.0,194.0,450.0,1808.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",5,1,0,100,1,1,1,1,"True",1408,5,,928.0,1522.0,594.0,-854.0,3304.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",4,0,65,95,1,1,4,4,"True",1704,5,,1090.75,1362.0,271.25,277.0,2175.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",2,2,65,95,1,1,3,3,"True",1352,5,,1191.25,1370.0,178.75,655.0,1906.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",6,2,0,100,1,1,7,7,"True",1168,5,,982.75,1150.0,167.25,481.0,1651.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",3,1,0,100,1,1,4,4,"True",1280,5,,1042.0,1130.0,88.0,778.0,1394.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",3,1,0,100,1,1,7,7,"True",1088,5,,1042.0,1130.0,88.0,778.0,1394.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",6,2,0,100,1,1,3,3,"True",1104,5,,1042.0,1196.0,154.0,580.0,1658.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",4,0,0,100,1,1,2,2,"True",1104,5,,962.0,1094.0,132.0,566.0,1490.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",3,1,65,95,1,1,1,1,"True",992,5,,940.0,1082.0,142.0,514.0,1508.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",4,0,65,95,1,1,4,4,"True",1689,5,,1006.0,1248.25,242.25,279.25,1975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",5,1,0,100,1,1,5,5,"True",976,5,,928.0,1522.0,594.0,-854.0,3304.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",5,1,0,100,1,1,2,2,"True",833,5,,998.0,1090.0,92.0,722.0,1366.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",2,2,65,95,1,1,7,7,"True",1488,5,,1222.0,1486.25,264.25,429.25,2279.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",3,1,0,100,1,1,6,6,"True",1184,5,,1132.0,1276.0,144.0,700.0,1708.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",6,2,65,95,1,1,4,4,"True",993,5,,980.25,1188.0,207.75,357.0,1811.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",2,2,65,95,1,1,2,2,"True",1088,5,,1096.0,1316.0,220.0,436.0,1976.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",3,1,0,100,1,1,6,6,"True",1336,5,,1190.0,1488.0,298.0,296.0,2382.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",3,1,65,95,1,1,5,5,"True",1401,5,,1356.0,1406.25,50.25,1205.25,1557.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",2,2,65,95,1,1,3,3,"True",1240,5,,1222.0,1486.25,264.25,429.25,2279.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",5,1,65,95,1,1,4,4,"True",1153,5,,1054.0,1164.25,110.25,723.25,1495.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",6,2,0,100,0,1,4,3,"False",969,5,,982.0,1068.0,86.0,724.0,1326.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",4,0,65,95,1,1,1,1,"True",1176,5,,1006.0,1248.25,242.25,279.25,1975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",2,2,0,100,1,1,1,1,"True",849,5,,980.0,1144.0,164.0,488.0,1636.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",5,1,65,95,1,1,6,6,"True",1176,5,,1090.25,1246.0,155.75,623.0,1713.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",5,1,65,95,1,1,7,7,"True",1472,5,,1300.75,1416.0,115.25,955.0,1761.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",3,1,0,100,1,1,1,1,"True",1184,5,,1132.0,1276.0,144.0,700.0,1708.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",5,1,0,100,1,1,5,5,"True",1056,5,,998.0,1090.0,92.0,722.0,1366.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",2,2,65,95,1,1,5,5,"True",1191,5,,1191.25,1370.0,178.75,655.0,1906.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",5,1,65,95,1,1,4,4,"True",1097,5,,1090.25,1246.0,155.75,623.0,1713.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",6,2,65,95,1,1,7,7,"True",1040,5,,970.0,1092.0,122.0,604.0,1458.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",6,2,65,95,1,1,6,6,"True",888,5,,970.0,1092.0,122.0,604.0,1458.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",5,1,0,100,1,1,6,6,"True",1119,5,,928.0,1522.0,594.0,-854.0,3304.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",3,1,0,100,1,1,1,1,"True",1160,5,,1072.25,1262.75,190.5,500.75,1834.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",2,2,65,95,1,1,3,3,"True",1280,5,,1096.0,1316.0,220.0,436.0,1976.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",6,2,0,100,1,1,4,4,"True",1159,5,,1018.0,1196.0,178.0,484.0,1730.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",5,1,0,100,1,1,7,7,"True",1056,5,,906.0,1108.0,202.0,300.0,1714.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",4,0,0,100,1,1,3,3,"True",1032,5,,968.0,1092.0,124.0,596.0,1464.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",6,2,0,100,1,1,6,6,"True",1144,5,,1018.0,1196.0,178.0,484.0,1730.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",2,2,0,100,1,1,6,6,"True",1080,5,,980.0,1144.0,164.0,488.0,1636.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","14",6,2,0,100,1,1,3,3,"True",1096,5,,982.0,1068.0,86.0,724.0,1326.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",4,0,65,95,1,1,6,6,"True",1264,5,,1006.0,1248.25,242.25,279.25,1975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",4,0,65,95,1,1,2,2,"True",1448,5,,1376.25,1472.0,95.75,1089.0,1759.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","6",2,2,0,100,1,1,3,3,"True",1328,5,,1196.0,1324.0,128.0,812.0,1708.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",4,0,0,100,1,1,1,1,"True",952,5,,968.0,1092.0,124.0,596.0,1464.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",6,2,0,100,1,1,7,7,"True",1048,5,,1042.0,1196.0,154.0,580.0,1658.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",3,1,65,95,1,1,3,3,"True",1056,5,,940.0,1082.0,142.0,514.0,1508.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",3,1,65,95,1,1,2,2,"True",904,5,,940.0,1082.0,142.0,514.0,1508.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",4,0,65,95,1,1,3,3,"True",1376,5,,1090.75,1362.0,271.25,277.0,2175.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",2,2,65,95,1,1,3,3,"True",1280,5,,1222.0,1486.25,264.25,429.25,2279.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",6,2,65,95,1,1,3,3,"True",1176,5,,980.25,1188.0,207.75,357.0,1811.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",4,0,65,95,1,1,4,4,"True",1120,5,,930.0,1106.0,176.0,402.0,1634.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",3,1,65,95,1,1,2,2,"True",1136,5,,940.0,1082.0,142.0,514.0,1508.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",5,1,65,95,1,1,6,6,"True",1432,5,,1300.75,1416.0,115.25,955.0,1761.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",3,1,0,100,1,1,4,4,"True",1208,5,,1072.25,1262.75,190.5,500.75,1834.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","Dynamic",2,2,0,100,1,1,7,7,"True",1080,5,,1050.0,1318.0,268.0,246.0,2122.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",4,0,65,95,1,1,3,3,"True",1480,5,,1376.25,1472.0,95.75,1089.0,1759.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",3,1,65,95,1,1,4,4,"True",920,5,,938.0,1110.0,172.0,422.0,1626.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","10",3,1,65,95,1,1,2,2,"True",904,5,,1104.25,1410.0,305.75,187.0,2327.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",3,1,65,95,1,1,3,3,"True",1288,5,,938.0,1110.0,172.0,422.0,1626.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","Dynamic",4,0,65,95,1,1,2,2,"True",872,5,,930.0,1106.0,176.0,402.0,1634.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",6,2,65,95,1,1,1,1,"True",1264,5,,1032.0,1226.0,194.0,450.0,1808.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","14",2,2,65,95,1,1,6,6,"True",1360,5,,1096.0,1316.0,220.0,436.0,1976.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","Overlap","6",6,2,65,95,1,1,7,7,"True",1232,5,,1032.0,1226.0,194.0,450.0,1808.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","none","No_Overlap","10",5,1,0,100,1,1,7,7,"True",904,5,,906.0,1108.0,202.0,300.0,1714.0,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","Dynamic",5,1,0,100,1,1,3,3,"True",1979,7,,1366.75,1836.5,469.75,-42.5,3245.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","14",3,1,65,95,1,1,1,1,"True",1449,7,,1162.0,1471.5,309.5,233.5,2400.0,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","Dynamic",5,1,0,100,1,1,3,3,"True",1487,7,,1366.75,1836.5,469.75,-42.5,3245.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","14",4,0,0,100,1,1,2,2,"True",1407,7,,1114.75,1346.0,231.25,421.0,2039.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","Dynamic",6,2,65,95,1,1,3,3,"True",1010,7,,958.25,1319.5,361.25,-125.5,2403.25,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","14",3,1,0,100,1,1,1,1,"True",1068,7,,1104.75,1283.0,178.25,570.0,1817.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","14",2,2,65,95,1,1,3,3,"True",1327,7,,1084.25,1380.5,296.25,195.5,2269.25,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","Dynamic",2,2,0,100,1,1,6,6,"True",1659,7,,1255.75,1406.5,150.75,803.5,1858.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","6",4,0,65,95,1,1,4,4,"True",3928,7,,2225.5,3485.5,1260.0,-1554.5,7265.5,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","10",6,2,65,95,1,1,1,1,"True",1539,7,,1430.25,1623.0,192.75,852.0,2201.25,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","14",4,0,65,95,1,1,2,2,"True",4759,7,,1352.5,4424.75,3072.25,-7864.25,13641.5,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","6",5,1,0,100,1,1,1,1,"True",2572,7,,1464.75,1901.25,436.5,155.25,3210.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","14",4,0,0,100,1,1,5,5,"True",1364,7,,1114.75,1346.0,231.25,421.0,2039.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","Dynamic",6,2,0,100,1,1,5,5,"True",1430,7,,1030.0,1374.0,344.0,-2.0,2406.0,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","14",5,1,0,100,1,1,1,1,"True",1175,7,,1172.75,1331.0,158.25,698.0,1805.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","10",5,1,0,100,1,1,7,7,"True",1367,7,,1292.5,1635.75,343.25,262.75,2665.5,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","Dynamic",4,0,0,100,1,1,5,5,"True",1476,7,,1123.75,1817.25,693.5,-956.75,3897.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","14",5,1,65,95,1,1,6,6,"True",2769,7,,1394.75,2108.25,713.5,-745.75,4248.75,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","10",4,0,65,95,1,1,5,5,"True",4048,7,,2345.0,3048.75,703.75,233.75,5160.0,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","6",3,1,65,95,1,1,6,6,"True",1956,7,,1619.5,1943.0,323.5,649.0,2913.5,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","No_Overlap","10",6,2,0,100,1,1,1,1,"True",968,7,,922.25,1339.25,417.0,-328.75,2590.25,"OK"
"between 25 and (excluding) 30","Undergraduate student (BSc not yet finished)","Computer science","more than 5 years","Overlap","10",2,2,65,95,1,1,6,6,"True",1417,7,,1260.25,1585.5,325.25,284.5,2561.25,"OK"
